hexID,slope_IC,NO,NumSpecies,LAT,LON,country,GDP,BC20,AC,AS,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,BC10,BC11,BC12,BC13,BC14,BC15,BC16,BC17,BC18,BC19,dx,dxx,dy,dyy,EL,BC21,HF,PC,RO,SL,TC,TP,TR,BD,CL,OC,pH,EC,CN,N2,BM,geometry
295,0,0,0,0.808069,-176.6251452,United States,59704.09773,,,,274,10,577,222,282,264,18,272,275,276,270,1144,168,54,35,461,164,247,332,0,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,-176.6251452|0.808069
16716,0,0,0,44.49495913,48.48297896,,,1447,,,126,19,70,9033,266,-9,275,221,7,253,7,183,20,11,15,55,35,44,35,0,0,0,0,0,1305,,0,0,0,0,0,0,,,,,,,,,48.48297896|44.49495913
16770,0,0,0,42.72897438,49.703077,,,1469,,,135,16,68,7859,258,21,238,72,237,251,35,178,23,6,34,67,21,22,49,0,0,0,0,0,1313,,0,0,0,0,0,0,,,,,,,,,49.703077|42.72897438
16824,0,0,0,41.67181862,50.23217629,,,1460,,,141,17,72,7539,260,31,229,81,238,252,45,184,24,4,40,71,15,18,52,0,0,0,0,0,1314,,0,0,0,0,0,0,,,,,,,,,50.23217629|41.67181862
16932,0,0,0,38.97589078,51.53241689,,,3477,,,165,14,67,7042,277,63,214,155,252,268,74,227,31,7,47,91,21,21,65,0,0,0,0,0,1193,,0,0,0,0,0,0,,,,,,,,,51.53241689|38.97589078
16986,0,0,0,37.78549955,52.16713327,,,5450,,,173,17,79,6829,280,71,209,166,271,271,83,353,57,10,56,169,30,30,99,0,0,0,0,0,1190,,0,0,0,0,0,0,,,,,,,,,52.16713327|37.78549955
17438,0,0,0,79.937621,58.675592,Russia,12285.6585,13868,,,-105,24,100,8535,15,-227,242,-206,-29,9,-206,257,27,13,21,80,39,69,80,0,0,0,0,0,177,0,0,0,0,0,0,0,,,,,,,,,58.675592|79.937621
18746,0,0,0,79.545104,76.888227,Russia,12285.6585,15411,,,-123,24,87,9685,14,-261,275,5,-197,5,-241,181,24,9,29,69,31,69,37,0,0,0,0,0,118,0,0,0,0,0,0,0,,,,,,,,9,76.888227|79.545104
24522,0,0,0,77.094881,156.526272,Russia,12285.6585,,,,-137,22,71,10821,17,-286,303,2,-257,6,-270,157,29,5,59,85,16,71,21,0,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,156.526272|77.094881
24577,0,0,0,77.102195,156.62955,Russia,12285.6585,,,,-137,22,71,10819,17,-286,303,2,-257,6,-270,157,29,5,59,85,16,71,21,0,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,156.62955|77.102195
10294,0,0,0,67.50189313,-39.74998854,Greenland,49856.71957,39493,-1,6.28E-07,-186,55,209,7469,-35,-298,263,-130,-99,-71,-268,373,39,20,16,110,69,80,99,0,0,-0.008069659,-4.63E-06,2420,297,0,-4.63E-06,3.75,0.464048147,0,-0.09375,1.40625,1.3,15,26.43,6.4,2,13,1.71,,-39.74998854|67.50189313
11603,0,0,0,70.49978939,-22.08349587,Greenland,49856.71957,,-1,6.28E-07,-66,37,162,7269,55,-175,230,-40,-51,35,-150,397,51,19,27,145,62,107,98,0,0,-0.000537787,-4.63E-06,0,,0,-4.63E-06,0.25,0.030937199,0,-0.09375,0.09375,,,,,,,,9,-22.08349587|70.49978939
12098,0,0,0,81.30609815,-14.96634789,Greenland,49856.71957,9436,-1,6.28E-07,-164,23,81,10019,-5,-293,288,-69,-57,-18,-275,216,29,10,29,80,31,52,46,0,0,-0.003761143,4.62E-06,597.5,251,0,4.62E-06,1.75,0.216559514,0,0.09375,0.65625,1.3,15,26.43,6.4,2,13,1.71,9,-14.96634789|81.30609815
17275,0,0,0,80.678367,56.121645,Russia,12285.6585,16035,-0.999923229,-0.010578064,-124,24,102,8221,-5,-240,236,-30,-119,-13,-219,222,26,10,26,77,33,73,56,-0.008291987,4.40E-05,-0.125801101,-2.08E-05,353.75,156,0,-2.12E-05,59.25,7.203774452,4.38E-05,-0.3984375,22.0546875,,,,,,,,9,56.121645|80.678367
10894,0,0,0,68.8005379,-31.49998854,Greenland,49856.71957,32337,-0.999891222,-0.004453751,-154,52,194,7987,2,-269,271,-83,-138,-33,-241,429,57,22,27,147,83,89,111,-0.00027867,1.03E-05,-0.024709418,-9.07E-06,1893.5,350,0,-9.04E-06,11.5625,1.421034217,1.03E-05,-0.15625,4.3125,1.3,15,26.43,6.4,2,13,1.71,,-31.49998854|68.8005379
19998,0,0,0,75.29283844,93.75001146,Russia,12285.6585,11463,-0.999883294,0.011240007,-150,47,116,13041,66,-344,410,32,-129,32,-312,266,36,13,32,106,40,106,63,0.00171982,-2.99E-06,-0.041759513,-1.98E-05,375.375,227,0,-1.89E-05,19.6875,2.401888609,-3.87E-06,-0.40625,7.296875,,,,,,,,9,93.75001146|75.29283844
11333,0,0,0,76.59099189,-25.49998854,Greenland,49856.71957,21678,-0.999606967,0.022382097,-190,41,132,9782,-5,-319,314,-50,-163,-36,-296,119,16,6,30,47,19,37,29,0.005066229,1.79E-05,-0.052773252,-3.66E-06,1679.5,293,0,-1.32E-06,25.1875,3.035983562,1.55E-05,-0.0546875,9.2734375,1.3,15,26.43,6.4,2,13,1.71,,-25.49998854|76.59099189
